  dataset zr_black zr_white  a_black v_black_gun t0_black_gun      st0  a_white v_white_phone t0_white_phone v_black_phone t0_black_phone v_white_gun t0_white_gun  penalty      fit     time   method
      130   0.8533   0.5390   0.3531 -29.9290   0.4253   0.2121   0.5615   4.1483   0.4847   1.4668   0.5424  -3.3412   0.3810   0.0000 -123.5951   1.0950       ML
      131   0.9306   0.4339   0.7445 -20.5444   0.5184   0.2718   0.1630  12.6511   0.5198   1.8338   0.5625  -9.1835   0.5591   0.0000 -106.7124   1.2814       ML
      132   0.3257   0.6318   0.4815   0.4891   0.3988   0.2693   0.4845   0.7175   0.4449   4.7180   0.5089  -8.8187   0.4641   0.0000 -58.2580   1.1942       ML
      133   0.3238   0.6252   0.7625  -4.7748   0.3821   0.1615   0.6810   3.8749   0.4968   6.0276   0.5327  -6.3015   0.4320   0.0000 -149.0814   1.1255       ML
      134   0.2499   0.4891   0.9624  -4.8361   0.3865   0.1674   0.6515   2.1799   0.4057   6.3033   0.4532  -3.2426   0.3809   0.0000 -122.5411   1.2367       ML
      135   0.7820   0.2169   0.8128  -5.9481   0.4313   0.1347   0.8417   9.5904   0.5378  46.8960   0.6240  -4.1797   0.5144   0.0000 -160.0314   0.9077       ML
      136   0.5165   0.6019   0.7565  -3.9103   0.4180   0.1961   0.5168   4.3402   0.4858   4.3372   0.5036  -2.7548   0.4743   0.0000 -90.1850   0.6054       ML
      137   0.3468   0.5502   0.5293  -7.3437   0.3833   0.1229   0.9282   4.6098   0.4524   9.9677   0.5616  -5.9350   0.3743   0.0000 -188.0195   0.7880       ML
       14   0.6336   0.5743   1.0690  -6.5320   0.3891   0.1590   5.8419  13.2420   0.4044  49.9515   0.6031 -11.0427   0.2358   0.0000 -164.8286   0.9940       ML
       15   0.4988   0.4690   5.6799 -14.1898   0.2185   0.1115   0.5418   4.7680   0.4562  12.2581   0.3280  -5.7175   0.4087   0.0000 -184.9255   0.8902       ML
       16   0.8490   0.1021   1.0371  -8.9519   0.3953   0.1909   0.5528  24.3317   0.5750   3.3618   0.5416  -1.8779   0.4825   0.0000 -146.3495   1.2878       ML
       17   0.2208   0.5424   1.1591  -3.9957   0.3826   0.1386   0.6755   4.9899   0.4749   6.9578   0.4417  -7.9816   0.4076   0.0000 -162.6156   0.7703       ML
       18   0.4536   0.1863   0.5357  -2.3034   0.3915   0.1941   0.7263   8.0061   0.5150   4.3509   0.5305  -5.2219   0.4909   0.0000 -105.3613   0.7581       ML
       19   0.1004   0.6191   2.8004 -30.1253   0.4058   0.1644   0.7519   4.0744   0.4657  14.5704   0.4110  -5.1227   0.3819   0.0000 -169.4947   1.1663       ML
        2   0.2818   0.7454   0.5308  -2.7051   0.4447   0.1901   0.7040   2.0869   0.5411   7.7934   0.5545  -7.1600   0.4395   0.0000 -95.4626   0.9870       ML
       20   0.4809   0.5520   0.6970  -5.5226   0.3987   0.1371   0.5696   5.8406   0.4975   7.3098   0.4930  -5.7645   0.4299   0.0000 -173.9338   0.9395       ML
       21   0.5213   0.7360   7.4071 -13.7113   0.1361   0.0582   0.7897   2.3586   0.4277  15.3243   0.3412  -5.1745   0.3497   0.0000 -175.9750   0.5804       ML
       22   0.1759   0.6911   1.0416  -4.3293   0.4339   0.1620   0.6595   2.8540   0.4596   7.6061   0.4636 -11.5164   0.4578   0.0000 -148.3564   1.1944       ML
       23   0.4530   0.4711   0.8081  -4.4935   0.4316   0.1396   0.5501   5.7414   0.5799   5.1172   0.5821  -5.6248   0.4828   0.0000 -143.5495   0.8172       ML
       24   0.3922   0.1282   0.6846  -5.6880   0.4119   0.1582   1.4224  13.8562   0.4882   7.4782   0.5181  -6.0105   0.4446   0.0000 -172.4523   1.0076       ML
       25   0.8127   0.1410   5.9942 -12.4167   0.0763   0.0477   5.6790  10.6423   0.1112   8.8363   0.4630  -7.0633   0.4044   0.0000 -184.3112   0.5365       ML
