141 "black" "gun" 0 0.581
141 "white" "gun" 0 0.612
141 "white" "gun" 0 0.572
141 "black" "phone" 1 0.661
141 "black" "gun" 0 0.526
141 "black" "gun" 0 0.634
141 "white" "gun" 0 0.523
141 "white" "gun" 0 0.581
141 "white" "gun" 0 0.679
141 "black" "gun" 0 0.533
141 "white" "gun" 0 0.506
141 "white" "phone" 1 0.634
141 "white" "gun" 0 0.606
141 "white" "gun" 0 0.614
141 "white" "gun" 0 0.652
141 "black" "phone" 1 0.681
141 "black" "gun" 0 0.561
141 "black" "gun" 0 0.545
141 "black" "phone" 1 0.684
141 "white" "gun" 0 0.687
141 "white" "gun" 0 0.658
141 "white" "gun" 0 0.593
141 "black" "gun" 0 0.559
141 "white" "phone" 1 0.685
141 "white" "phone" 1 0.56
141 "white" "gun" 0 0.528
141 "black" "phone" 1 0.63
141 "white" "phone" 1 0.65
141 "white" "gun" 0 0.558
141 "white" "phone" 1 0.641
141 "white" "phone" 1 0.631
141 "white" "phone" 1 0.638
141 "white" "gun" 0 0.514
141 "black" "gun" 1 0.519
141 "black" "gun" 0 0.505
141 "white" "gun" 0 0.622
141 "white" "gun" 0 0.678
141 "black" "phone" 1 0.599
141 "white" "phone" 1 0.634
141 "white" "gun" 0 0.591
141 "white" "phone" 1 0.661
141 "black" "phone" 1 0.65
141 "black" "phone" 1 0.637
141 "black" "phone" 1 0.651
141 "black" "phone" 1 0.624
141 "white" "gun" 0 0.487
141 "white" "phone" 1 0.547
141 "black" "phone" 1 0.605
141 "black" "gun" 0 0.581
141 "white" "phone" 1 0.604
141 "white" "phone" 1 0.552
141 "white" "gun" 0 0.516
141 "white" "phone" 1 0.572
141 "black" "gun" 0 0.517
141 "black" "gun" 0 0.555
141 "black" "gun" 0 0.545
141 "white" "gun" 0 0.603
141 "black" "phone" 1 0.609
141 "white" "phone" 1 0.618
141 "black" "phone" 1 0.625
141 "white" "phone" 1 0.567
141 "white" "phone" 1 0.564
141 "white" "gun" 0 0.56
141 "black" "gun" 0 0.583
141 "white" "phone" 1 0.642
141 "black" "gun" 0 0.525
141 "black" "phone" 1 0.616
141 "white" "phone" 1 0.691
141 "white" "gun" 0 0.635
141 "black" "phone" 1 0.677
141 "black" "phone" 1 0.664
141 "black" "gun" 0 0.489
141 "black" "phone" 1 0.588
141 "white" "gun" 0 0.607
141 "white" "gun" 0 0.573
141 "white" "gun" 0 0.542
141 "white" "gun" 0 0.513
141 "white" "gun" 0 0.518
141 "black" "gun" 0 0.507
141 "black" "gun" 0 0.543
141 "black" "phone" 1 0.629
141 "black" "gun" 0 0.541
141 "white" "phone" 1 0.661
141 "white" "phone" 1 0.628
141 "black" "gun" 0 0.517
141 "white" "gun" 0 0.646
141 "black" "phone" 1 0.687
141 "black" "gun" 0 0.633
141 "black" "gun" 0 0.501
141 "white" "gun" 0 0.603
141 "white" "phone" 1 0.642
141 "black" "gun" 0 0.564
141 "black" "phone" 1 0.683
141 "white" "gun" 0 0.697
141 "white" "gun" 0 0.572
141 "black" "gun" 0 0.531
141 "white" "phone" 1 0.669
141 "black" "gun" 0 0.484
141 "white" "phone" 1 0.64
