"","subj_idx","stimulus","stim","rt","response","condition"
"13082",122,"phone","bp",0.589,1,"black"
"13083",122,"phone","bp",0.61,1,"black"
"13084",122,"gun","bg",0.421,0,"black"
"13085",122,"phone","wp",0.658,1,"white"
"13086",122,"phone","wp",0.639,1,"white"
"13087",122,"phone","bp",0.481,1,"black"
"13088",122,"phone","wp",0.552,1,"white"
"13089",122,"phone","bp",0.556,1,"black"
"13090",122,"phone","wp",0.544,1,"white"
"13091",123,"gun","bg",0.381,0,"black"
"13092",123,"gun","wg",0.503,0,"white"
"13093",123,"phone","bp",0.507,1,"black"
"13094",123,"gun","bg",0.539,0,"black"
"13095",123,"phone","wp",0.584,1,"white"
"13096",123,"phone","wp",0.514,1,"white"
"13097",123,"gun","bg",0.451,0,"black"
"13098",123,"phone","wp",0.488,1,"white"
"13099",123,"gun","bg",0.528,0,"black"
"13100",123,"gun","wg",0.503,0,"white"
"13101",123,"phone","bp",0.691,1,"black"
"13102",123,"gun","bg",0.453,0,"black"
"13103",123,"gun","wg",0.658,0,"white"
"13104",123,"phone","bp",0.695,1,"black"
"13105",123,"gun","wg",0.473,0,"white"
"13106",123,"gun","wg",0.471,0,"white"
"13107",123,"gun","wg",0.435,0,"white"
"13109",123,"phone","bp",0.604,1,"black"
"13110",123,"phone","wp",0.561,1,"white"
"13111",123,"phone","bp",0.633,1,"black"
"13112",123,"gun","bg",0.478,0,"black"
"13113",123,"phone","bp",0.6,1,"black"
"13114",123,"phone","bp",0.639,1,"black"
"13115",123,"phone","bp",0.658,1,"black"
"13116",123,"phone","wp",0.631,1,"white"
"13117",123,"phone","bp",0.587,1,"black"
"13119",123,"phone","bp",0.546,1,"black"
"13120",123,"phone","bp",0.571,1,"black"
"13121",123,"gun","wg",0.596,0,"white"
