"","subj_idx","stimulus","stim","rt","response","condition"
"13780",128,"phone","wp",0.659,1,"white"
"13781",128,"gun","wg",0.487,1,"white"
"13782",128,"phone","wp",0.624,1,"white"
"13783",128,"phone","wp",0.663,1,"white"
"13784",128,"gun","bg",0.394,0,"black"
"13785",128,"phone","bp",0.662,1,"black"
"13786",128,"phone","bp",0.65,1,"black"
"13787",128,"gun","wg",0.606,0,"white"
"13788",128,"gun","wg",0.499,0,"white"
"13789",128,"phone","wp",0.67,1,"white"
"13790",128,"gun","bg",0.465,0,"black"
"13791",128,"phone","wp",0.619,1,"white"
"13792",128,"phone","wp",0.512,1,"white"
"13793",128,"gun","wg",0.492,0,"white"
"13794",128,"gun","bg",0.407,0,"black"
"13796",128,"phone","bp",0.61,1,"black"
"13797",128,"phone","wp",0.587,1,"white"
"13798",128,"gun","bg",0.471,0,"black"
"13799",128,"phone","wp",0.563,1,"white"
"13800",128,"gun","bg",0.462,0,"black"
"13802",129,"gun","bg",0.474,0,"black"
"13803",129,"phone","bp",0.631,1,"black"
"13804",129,"phone","bp",0.592,0,"black"
"13805",129,"gun","wg",0.549,1,"white"
"13806",129,"phone","wp",0.582,1,"white"
"13807",129,"phone","bp",0.614,1,"black"
"13808",129,"phone","bp",0.564,1,"black"
"13809",129,"phone","bp",0.54,1,"black"
"13810",129,"phone","wp",0.519,1,"white"
"13811",129,"phone","wp",0.613,1,"white"
"13812",129,"gun","bg",0.481,0,"black"
"13813",129,"phone","bp",0.562,1,"black"
"13814",129,"phone","wp",0.507,1,"white"
"13815",129,"phone","wp",0.616,1,"white"
"13816",129,"gun","wg",0.562,0,"white"
"13817",129,"gun","wg",0.621,0,"white"
"13818",129,"gun","wg",0.469,0,"white"
"13819",129,"phone","bp",0.69,1,"black"
"13820",129,"phone","bp",0.569,1,"black"
"13821",129,"gun","bg",0.436,0,"black"
"13822",129,"phone","bp",0.58,1,"black"
"13823",129,"phone","wp",0.558,1,"white"
"13824",129,"phone","bp",0.554,1,"black"
"13825",129,"gun","wg",0.471,0,"white"
"13826",129,"gun","wg",0.566,0,"white"
"13827",129,"phone","bp",0.594,1,"black"
"13828",129,"phone","bp",0.636,1,"black"
"13829",129,"gun","bg",0.551,0,"black"
"13830",129,"phone","bp",0.58,1,"black"
"13831",129,"phone","bp",0.59,1,"black"
"13832",129,"gun","wg",0.522,1,"white"
"13833",129,"gun","wg",0.478,0,"white"
"13834",129,"gun","bg",0.43,0,"black"
"13835",129,"gun","wg",0.478,0,"white"
"13836",129,"gun","bg",0.397,0,"black"
"13837",129,"phone","wp",0.496,1,"white"
"13838",129,"gun","wg",0.56,0,"white"
"13839",129,"gun","bg",0.412,0,"black"
"13840",129,"gun","wg",0.575,0,"white"
"13841",129,"gun","wg",0.491,0,"white"
"13842",129,"phone","wp",0.586,1,"white"
"13843",129,"phone","bp",0.615,1,"black"
"13844",129,"phone","wp",0.577,1,"white"
"13845",129,"phone","bp",0.654,1,"black"
"13846",129,"phone","bp",0.565,1,"black"
"13847",129,"gun","bg",0.499,0,"black"
"13848",129,"phone","wp",0.561,0,"white"
"13849",129,"gun","wg",0.63,0,"white"
"13850",129,"gun","wg",0.512,0,"white"
"13851",129,"gun","bg",0.574,0,"black"
"13852",129,"phone","wp",0.587,1,"white"
"13853",129,"gun","wg",0.616,0,"white"
"13854",129,"gun","wg",0.483,0,"white"
"13856",129,"gun","bg",0.603,0,"black"
"13857",129,"gun","wg",0.534,0,"white"
"13858",129,"phone","bp",0.55,1,"black"
"13859",129,"phone","bp",0.58,1,"black"
"13861",129,"gun","bg",0.448,0,"black"
"13862",129,"phone","wp",0.562,1,"white"
"13863",129,"gun","bg",0.576,0,"black"
"13864",129,"gun","wg",0.556,1,"white"
"13866",129,"gun","bg",0.494,0,"black"
"13867",129,"phone","bp",0.67,1,"black"
"13868",129,"phone","wp",0.599,1,"white"
"13869",129,"gun","bg",0.499,0,"black"
"13870",129,"gun","wg",0.629,0,"white"
"13871",129,"gun","wg",0.463,0,"white"
"13872",129,"gun","wg",0.496,0,"white"
"13873",129,"phone","bp",0.656,1,"black"
"13874",129,"gun","bg",0.585,0,"black"
"13875",129,"gun","wg",0.582,0,"white"
"13876",129,"gun","bg",0.483,0,"black"
"13877",129,"gun","wg",0.498,0,"white"
"13878",129,"phone","wp",0.642,1,"white"
"13879",129,"gun","wg",0.574,0,"white"
"13880",129,"gun","bg",0.46,0,"black"
"13881",129,"phone","wp",0.557,1,"white"
"13882",129,"phone","wp",0.587,1,"white"
"13883",129,"phone","wp",0.536,1,"white"
